match,server,game,score,reward
1,1,1,"(0, 15)",0
1,1,1,"(0, 30)",-2
1,1,1,"(0, 40)",-3
2,1,1,"(0, 30)",-2
2,1,1,"(0, 40)",-3
2,1,2,"(0, 0)",0
2,0,2,"(15, 0)",1
2,0,2,"(30, 0)",2
2,0,2,"(40, 0)",3
